id,compound_word,word1,word2,sandhi_type,rule_id
91,नपुंसकमनपुंसकेनैकवच्चास्यान्यतरस्याम्,नपुंसकम्,अनपुंसकेन,consonant,12069.0
92,त्यदादीनि सर्वैर्नित्यम्,त्यदादीनि,सर्वौः,consonant,12072.0
93,भूवादयो धातवः,भूवादयः,धातवः,visarga,13001.0
94,उपदेशेऽजनुनासिक इत्,उपदेशे,अच्,consonant,13002.0
95,हलन्त्यम्,हल्,अन्त्यम्,consonant,13003.0
96,आदिर्ञिटुडवः,आदिः,ञिटुडवः,visarga,13005.0
97,लशक्वतद्धिते,लशकु,अतद्धिते,vowel,13008.0
98,यथासंख्यमनुदेशः समानाम्,यथासंख्यम्,अनुदेशः,consonant,13010.0
99,स्वरितेनाधिकारः,स्वरितेन,अधिकारः,vowel,13011.0
100,अनुदात्तङित आत्मनेपदम्,अनुदात्तङितः,आत्मनेपदम्,visarga,13012.0
101,इतरेतरान्योन्योपपदाच्च,इतरेतरान्योन्योपपदात्,च,consonant,13016.0
102,नेर्विशः,नेः,विशः,visarga,13017.0
103,विपराभ्यां जेः,विपराभ्याम्,जेः,consonant,13019.0
104,आङो दोऽनास्यविहरणे,आङः,दः,visarga,13020.0
105,क्रीडोऽनुसम्परिभ्यश्च,क्रीडः,अनुसम्परिभ्यः,visarga,13021.0
106,प्रकाशनस्थेयाख्ययोश्च,प्रकाशनस्थेयाख्ययोः,च,visarga,13023.0
107,उदोऽनूर्द्ध्वकर्मणि,उदः,अनूर्ध्वकर्मणि,visarga,13024.0
108,उपान्मन्त्रकरणे,उपात्,मन्त्रकरणे,consonant,13025.0
109,अकर्मकाच्च,अकर्मकात्,च,consonant,13026.0
110,उद्विभ्यां तपः,उद्विभ्याम्,तपः,consonant,13027.0
111,आङो यमहनः,आङः,यमहनः,visarga,13028.0
112,निसमुपविभ्यो ह्वः,निसमुपविभ्यः,ह्वः,visarga,13030.0
113,स्पर्द्धायामाङः,स्पर्द्धायाम्,आङः,consonant,13031.0
114,अकर्मकाच्च,अकर्मकात्,च,consonant,13035.0
115,कर्तृस्थे चाशरीरे कर्मणि,कर्तृस्थे,च,consonant,13037.0
116,आङ उद्गमने,आङः,उद्गमने,visarga,13040.0
117,प्रोपाभ्यां समर्थाभ्याम्,प्रोपाभ्याम्,समर्थाभ्याम्,consonant,13042.0
118,अनुपसर्गाद्वा,अनुपसर्गात्,वा,consonant,13043.0
119,अकर्मकाच्च,अकर्मकात्,च,consonant,13045.0
120,सम्प्रतिभ्यामनाध्याने,सम्प्रतिभ्याम्,अनाध्याने,consonant,13046.0
121,व्यक्तवाचां समुच्चारणे,व्यक्तवाचाम्,समुच्चारणे,consonant,13048.0
122,अनोरकर्मकात्,अनोः,अकर्मकात्,visarga,13049.0
123,अवाद्ग्रः,अवात्,ग्रः,consonant,13051.0
124,उदश्चरः सकर्मकात्,उदः,चरः,visarga,13053.0
125,समस्तृतीयायुक्तात्,समः,तृतीयायुक्तात्,visarga,13054.0
126,दाणश्च सा चेच्चतुर्थ्यर्थे,दाणः,च,consonant,13055.0
127,उपाद्यमः स्वकरणे,उपात्,यमः,consonant,13056.0
128,ज्ञाश्रुस्मृदृशां सनः,ज्ञाश्रुस्मृदृशाम्,सनः,consonant,13057.0
129,नानोर्ज्ञः,न,अनोः,consonant,13058.0
130,प्रत्याङ्भ्यां श्रुवः,प्रत्याङ्भ्याम्,श्रुवः,consonant,13059.0
131,म्रियतेर्लुङ्‌लिङोश्च,म्रियते,लुङ्‌लिङोः,consonant,13061.0
132,आम्प्रत्ययवत् कृञोऽनुप्रयोगस्य,आम्प्रत्ययवत्,कृञः,consonant,13063.0
133,प्रोपाभ्यां युजेरयज्ञपात्रेषु,प्रोपाभ्याम्,युजेः,consonant,13064.0
134,भुजोऽनवने,भुजः,अनवने,visarga,13066.0
135,णेरणौ यत् कर्म णौ चेत् स कर्ताऽनाध्याने,णेः,अणौ,consonant,13067.0
136,भीस्म्योर्हेतुभये,भीस्म्योः,हेतुभये,visarga,13068.0
137,लियः सम्माननशालिनीकरणयोश्च,लियः,सम्माननशालिनीकरणयोः,visarga,13070.0
138,मिथ्योपपदात् कृञोऽभ्यासे,मिथ्योपपदात्,कृञः,consonant,13071.0
139,अपाद्वदः,अपात्,वदः,consonant,13073.0
140,णिचश्च,णिचः,च,visarga,13074.0
141,समुदाङ्भ्यो यमोऽग्रन्थे,समुदाङ्भ्यः,यमः,visarga,13075.0
142,अनुपसर्गाज्ज्ञः,अनुपसर्गात्,ज्ञः,consonant,13076.0
143,विभाषोपपदेन प्रतीयमाने,विभाषा,उपपदेन,consonant,13077.0
144,अनुपराभ्यां कृञः,अनुपराभ्याम्,कृञः,consonant,13079.0
145,प्राद्वहः,प्रात्,वहः,consonant,13081.0
146,परेर्मृषः,परेः,मृषः,visarga,13082.0
147,व्याङ्परिभ्यो रमः,व्याङ्परिभ्यः,रमः,visarga,13083.0
148,उपाच्च,उपात्,च,consonant,13084.0
149,विभाषाऽकर्मकात्,विभाषा,अकर्मकात्,vowel,13085.0
150,निगरणचलनार्थेभ्यः,निगरणचलनार्थेभ्यः,च,visarga,13087.0
151,अणावकर्मकाच्चित्तवत्कर्तृकात्,अणौ,अकर्मकात्,consonant,13088.0
152,द्युद्भ्यो लुङि,द्‍युभ्यः,लुङि,visarga,13091.0
153,वृद्भ्यः स्यसनोः,वृद्‍भ्यः,स्यसनोः,visarga,13092.0
154,आ कडारादेका संज्ञा,आ,कडारात्,consonant,14001.0
155,विप्रतिषेधे परं कार्यम्,विप्रतिषेधे,परम्,consonant,14002.0
156,नेयङुवङ्स्थानावस्त्री,न,इयङुवङ्स्थानौ,vowel,14004.0
157,वाऽऽमि,वा,आमि,vowel,14005.0
158,शेषो घ्यसखि,शेषः,घि,consonant,14007.0
159,पतिः समास एव,पतिः,समासे,consonant,14008.0
160,षष्ठीयुक्तश्छन्दसि वा,षष्ठीयुक्तः,छन्दसि,consonant,14009.0
161,ह्रस्वं लघु,ह्रस्वम्,लघु,consonant,14010.0
162,दीर्घं च,दीर्घम्,च,consonant,14012.0
163,यस्मात् प्रत्ययविधिस्तदादि प्रत्ययेऽङ्गम्,यस्मात्,प्रत्ययविधिः,consonant,14013.0
164,सुप्तिङन्तं पदम्,सुप्तिङन्तम्,पदम्,consonant,14014.0
165,स्वादिष्वसर्वनामस्थाने,स्वादिषु,असर्वनमस्थाने,vowel,14017.0
166,अयस्मयादीनि च्छन्दसि,अयस्मयादीनि,छन्दसि,consonant,14020.0
167,ध्रुवमपायेऽपादानम्,ध्रुवम्,अपाये,consonant,14024.0
168,भीत्रार्थानां भयहेतुः,भीत्रार्थानाम्,भयहेतुः,consonant,14025.0
169,पराजेरसोढः,पराजेः,असोढः,visarga,14026.0
170,वारणार्थानां ईप्सितः,वारणार्थानाम्,ईप्सितः,consonant,14027.0
171,अन्तर्द्धौ येनादर्शनमिच्छति,अन्तर्द्धौ,येन,consonant,14028.0
172,आख्यातोपयोगे,आख्याता,उपयोगे,vowel,14029.0
173,कर्मणा यमभिप्रैति स सम्प्रदानम्,कर्मणा,यम्,consonant,14032.0
174,रुच्यर्थानां प्रीयमाणः,रुच्यर्थानाम्,प्रीयमाणः,consonant,14033.0
175,श्लाघह्नुङ्स्थाशपां ज्ञीप्स्यमानः,श्लाघह्नुङ्स्थाशपाम्,ज्ञीप्स्यमानः,consonant,14034.0
176,धारेरुत्तमर्णः,धारेः,उत्तमर्णः,visarga,14035.0
177,स्पृहेरीप्सितः,स्पृहेः,ईप्सितः,visarga,14036.0
178,क्रुधद्रुहेर्ष्याऽसूयार्थानां यं प्रति कोपः,क्रुधद्रुहेर्ष्यासूयार्थानाम्,यम्,consonant,14037.0
179,क्रुधद्रुहोरुपसृष्टयोः कर्म,क्रुधद्रुहोः,उपसृष्टयोः,visarga,14038.0
180,राधीक्ष्योर्यस्य विप्रश्नः,राधीक्ष्योः,यस्य,consonant,14039.0
181,प्रत्याङ्भ्यां श्रुवः पूर्वस्य कर्ता,प्रत्याङ्भ्याम्,श्रुवः,consonant,14040.0
182,अनुप्रतिगृणश्च,अनुप्रतिगृणः,च,visarga,14041.0
183,साधकतमं करणम्,साधकतमम्,करणम्,consonant,14042.0
184,परिक्रयणे सम्प्रदानमन्यतरस्याम्,परिक्रयणे,सम्प्रदानम्,consonant,14044.0
185,आधारोऽधिकरणम्,आधारः,अधिकरणम्,visarga,14045.0
186,अधिशीङ्स्थाऽऽसां कर्म,अधिशीङ्स्थाऽऽसाम्,कर्म,consonant,14046.0
187,अभिनिविशश्च,अभिनिविशः,च,visarga,14047.0
188,कर्तुरीप्सिततमं कर्म,कर्तुः,ईप्सिततमम्,consonant,14049.0
189,तथायुक्तं चानिप्सीतम्,तथा,युक्तम्,consonant,14050.0
190,अकथितं च,अकथितम्,च,consonant,14051.0
191,गतिबुद्धिप्रत्यवसानार्थशब्दकर्माकर्मकाणामणि कर्ता,गतिबुद्धिप्रत्यवसानार्थशब्दकर्माकर्मकाणाम्,अणि,consonant,14052.0
192,हृक्रोरन्यतरस्याम्,हृक्रोः,अन्यतरस्याम्,visarga,14053.0
193,तत्प्रयोजको हेतुश्च,तत्प्रयोजकः,हेतुः,visarga,14055.0
194,प्राग्रीश्वरान्निपाताः,प्राक्,रीश्वरात्,consonant,14056.0
195,चादयोऽसत्त्वे,चादयः,असत्त्वे,visarga,14057.0
196,गतिश्च,गतिः,च,visarga,14060.0
197,ऊर्यादिच्विडाचश्च,ऊर्यादिच्विडाचः,च,visarga,14061.0
198,अनुकरणं चानितिपरम्,अनुकरणम्,च,consonant,14062.0
199,भूषणेऽलम्,भूषणे,अलम्,vowel,14064.0
200,अन्तरपरिग्रहे,अन्तः,अपरिग्रहे,visarga,14065.0
201,पुरोऽव्ययम्,पुरः,अव्ययम्,visarga,14067.0
202,अस्तं च,अस्तम्,च,consonant,14068.0
203,अदोऽनुपदेशे,अदः,अनुपदेशे,visarga,14070.0
204,तिरोऽन्तर्द्धौ,तिरः,अन्तर्द्धौ,visarga,14071.0
205,अनत्याधान उरसिमनसी,अनत्याधाने,उरसिमनसी,vowel,14075.0
206,नित्यं हस्ते पाणावुपयमने,नित्यम्,हस्ते,consonant,14077.0
207,प्राध्वं बन्धने,प्राध्वम्,बन्धने,consonant,14078.0
208,जीविकोपनिषदावौपम्ये,जीविकोपनिषदौ,औपम्ये,vowel,14079.0
209,छन्दसि परेऽपि,छन्दसि,परे,consonant,14081.0
210,व्यवहिताश्च,व्यवहिताः,च,visarga,14082.0
211,अनुर्लक्षणे,अनुः,लक्षणे,visarga,14084.0
212,उपोऽधिके च,उपः,अधिके,consonant,14087.0
213,अभिरभागे,अभिः,अभागे,visarga,14091.0
214,अतिरतिक्रमणे च,अतिः,अतिक्रमणे,consonant,14095.0
215,अधिरीश्वरे,अधिः,ईश्वरे,visarga,14097.0
216,तङानावात्मनेपदम्,तङानौ,आत्मनेपदम्,vowel,14100.0
217,तिङस्त्रीणि त्रीणि प्रथममध्यमोत्तमाः,तिङः,त्रीणि,consonant,14101.0
218,तान्येकवचनद्विवचनबहुवचनान्येकशः,तानि,एकवचनद्विवचनबहुवचनान्येकशः,vowel,14102.0
219,विभक्तिश्च,विभक्तिः,च,visarga,14104.0
220,युष्मद्युपपदे समानाधिकरणे स्थानिन्यपि मध्यमः,युष्मदि,उपपदे,consonant,14105.0
221,प्रहासे च मन्योपपदे मन्यतेरुत्तम एकवच्च,प्रहासे,च,consonant,14106.0
222,अस्मद्युत्तमः,अस्मदि,उत्तमः,vowel,14107.0
223,परः संनिकर्षः संहिता,परः,सन्निकर्षः,visarga,14109.0
224,विरामोऽवसानम्,विरामः,अवसानम्,visarga,14110.0
225,सुबामन्त्रिते पराङ्गवत्‌ स्वरे,सुप्,आमन्त्रिते,consonant,21002.0
226,यथाऽसादृये,यथा,असादृये,vowel,21007.0
227,यावदवधारणे,यावत्,अवधारणे,consonant,21008.0
228,लक्षणेनाभिप्रती आभिमुख्ये,लक्षणेन,अभिप्रती,vowel,21014.0
229,अनुर्यत्समया,अनुः,यत्समया,visarga,21015.0
230,यस्य चायामः,यस्य,च,consonant,21016.0
231,नदीभिश्च,नदीभिः,च,visarga,21020.0
232,अन्यपदार्थे च संज्ञायाम्‌,अन्यपदार्थे,च,consonant,21021.0
233,द्विगुश्च,द्विगुः,च,visarga,21023.0
234,स्वयं क्तेन,स्वयम्,क्तेन,consonant,21025.0
235,तृतीया तत्कृतार्थेन गुणवचनेन,तृतीया,तत्कृत,consonant,21030.0
236,कर्तृकरणे कृता बहुलम्‌,कर्तृकरणे,कृता,consonant,21032.0
237,कृत्यैरधिकार्थवचने,कृत्यैः,अधिकार्थवचने,visarga,21033.0
238,अन्नेन व्यञ्जनम्‌,अन्नेन,व्यञ्जनम्,consonant,21034.0
239,भक्ष्येण मिश्रीकरणम्‌,भक्ष्येण,मिश्रीकरणम्,consonant,21035.0
240,अपेतापोढमुक्तपतितापत्रस्तैरल्पशः,अपेतापोढमुक्तपतितापत्रस्तैः,अल्पशः,visarga,21038.0
241,सिद्धशुष्कपक्वबन्धैश्च,सिद्धशुष्कपक्वबन्धैः,च,visarga,21041.0
242,कृत्यैर्ऋणे,कृत्यैः,ऋणे,visarga,21043.0
243,क्तेनाहोरात्रावयवाः,क्तेन,अहोरात्रावयवाः,vowel,21045.0
244,पात्रेसमितादयश्च,पात्रेसंमितादयः,च,visarga,21048.0
245,संख्यापूर्वो द्विगुः,संख्यापूर्वः,द्विगुः,visarga,21052.0
246,उपमितं व्याघ्रादिभिः सामान्याप्रयोगे,उपमितम्,व्याघ्रादिभिः,consonant,21056.0
247,विशेषणं विशेष्येण बहुलम्‌,विशेषणम्,विशेष्येण,consonant,21057.0
248,पूर्वापरप्रथमचरमजघन्यसमानमध्यमध्यमवीराश्च,पूर्वापरप्रथमचरमजघन्यसमानमध्यमध्यमवीराः,च,visarga,21058.0
249,क्तेन नञ्विशिष्टेनानञ्,क्तेन,नञ्विशिष्टेन,consonant,21060.0
250,वृन्दारकनागकुञ्जरैः पूज्यमानम्‌,वृन्दारकनागकुञ्जरैः,पूज्यमानम्,visarga,21062.0
251,किं क्षेपे,किम्,क्षेपे,consonant,21064.0
252,प्रशंसावचनैश्च,प्रशंसावचनैः,च,visarga,21066.0
253,कृत्यतुल्याख्या अजात्या,कृत्यतुल्याख्याः,अजात्या,visarga,21068.0
254,वर्णो वर्णेन,वर्णः,वर्णेन,visarga,21069.0
255,चतुष्पादो गर्भिण्या,चतुष्पादः,गर्भिण्या,visarga,21071.0
256,मयूरव्यंसकादयश्च,मयूरव्यंसकादयः,च,visarga,21072.0
257,पूर्वापराधरोत्तरमेकदेशिनैकाधिकरणे,पूर्वापराधरोत्तरम्,एकदेशिना,consonant,22001.0
258,अर्धं नपुंसकम्‌,अर्धम्,नपुंसकम्,consonant,22002.0
259,द्वितीयतृतीयचतुर्थतुर्याण्यन्यतरस्याम्‌,द्वितीयतृतीयचतुर्थतुर्याणि,अन्यतरस्याम्,vowel,22003.0
260,ईषदकृता,ईषत्,अकृता,consonant,22007.0
261,याजकादिभिश्च,याजकादिभिः,च,visarga,22009.0
262,क्तेन च पूजायाम्‌,क्तेन,च,consonant,22012.0
263,तृजकाभ्यां कर्तरि,तृजकाभ्याम्,कर्त्तरि,consonant,22015.0
264,नित्यं क्रीडाजीविकयोः,नित्यम्,क्रीडाजीविकयोः,consonant,22017.0
265,उपपदमतिङ्,उपपदम्,अतिङ्,consonant,22019.0
266,अमैवाव्ययेन,अमा,एव,vowel,22020.0
267,तृतीयाप्रभृतीन्यन्यतरस्याम्‌,तृतीयाप्रभृतीनि,अन्यतरस्याम्,vowel,22021.0
268,शेषो बहुव्रीहिः,शेषः,बहुव्रीहिः,visarga,22023.0
269,अनेकमन्यपदार्थे,अनेकम्,अन्यपदार्थे,consonant,22024.0
270,संख्ययाऽव्ययासन्नादूराधिकसंख्याः संख्येये,संख्यया,अव्ययासन्नादूराधिकसंख्याः,consonant,22025.0
271,तत्र तेनेदमिति सरूपे,तत्र,तेन्,consonant,22027.0
272,तेन सहेति तुल्ययोगे,तेन,सह,consonant,22028.0
273,चार्थे द्वंद्वः,चार्थे,द्वन्द्वः,consonant,22029.0
274,उपसर्जनं पूर्वम्‌,उपसर्जनम्,पूर्वम्,consonant,22030.0
275,राजदन्तादिषु परम्‌,राजदन्तादिषु,परम्,consonant,22031.0
276,द्वंद्वे घि,द्वन्द्वे,घि,consonant,22032.0
277,वाऽऽहिताग्न्यादिषु,वा,आहिताग्न्यादिषु,vowel,22037.0
278,तृतीया च होश्छन्दसि,तृतीया,च,consonant,23003.0
279,कालाध्वनोरत्यन्तसंयोगे,कालाध्वनोः,अत्यन्तसंयोगे,visarga,23005.0
280,यस्मादधिकं यस्य चेश्वरवचनं तत्र सप्तमी,यस्मात्,अधिकम्,consonant,23009.0
281,प्रतिनिधिप्रतिदाने च यस्मात्‌,प्रतिनिधिप्रतिदाने,च,consonant,23011.0
282,गत्यर्थकर्मणि द्वितीयाचतुर्थ्यौ चेष्टायामनध्वनि,गत्यर्थकर्मणि,द्वितीयाचतुर्थ्यौ,consonant,23012.0
283,तुमर्थाच्च भाववचनात्‌,तुमर्थात्,च,consonant,23015.0
284,नमःस्वस्तिस्वाहास्वधालंवषड्योगाच्च,नमःस्वस्तिस्वाहास्वधालंवषड्योगात्,च,consonant,23016.0
285,मन्यकर्मण्यनादरे विभाषाऽप्राणिषु,मन्यकर्मणि,अनादरे,consonant,23017.0
286,कर्तृकरणयोस्तृतीया,कर्त्तृकरणयोः,तृतीया,visarga,23018.0
287,सहयुक्तेऽप्रधाने,सहयुक्ते,अप्रधाने,vowel,23019.0
288,येनाङ्गविकारः,येन,अङ्गविकारः,vowel,23020.0
289,संज्ञोऽन्यतरस्यां कर्मणि,संज्ञः,अन्यतरस्याम्,consonant,23022.0
290,अकर्तर्यृणे पञ्चमी,अकर्त्तरि,ऋणे,consonant,23024.0
291,विभाषा गुणेऽस्त्रियाम्‌,विभाषा,गुणे,consonant,23025.0
292,सर्वनाम्नस्तृतीया च,सर्वनाम्नः,तृतीया,consonant,23027.0
293,षष्ठ्यतसर्थप्रत्ययेन,षष्ठी,अतसर्थप्रत्ययेन,vowel,23030.0
294,पृथग्विनानानाभिस्तृतीयाऽन्यतरस्याम्‌,पृथग्विनानानाभिः,तृतीया,consonant,23032.0
295,करणे च स्तोकाल्पकृच्छ्रकतिपयस्यासत्त्ववचनस्य,करणे,च,consonant,23033.0
296,दूरान्तिकार्थैः षष्ठ्यन्यतरस्याम्‌,दूरान्तिकार्थैः,षष्ठी,consonant,23034.0
297,दूरान्तिकार्थेभ्यो द्वितीया च,दूरान्तिकार्थेभ्यः,द्वितीया,consonant,23035.0
298,सप्तम्यधिकरणे च,सप्तमी,अधिकरणे,consonant,23036.0
299,यस्य च भावेन भावलक्षणम्‌,यस्य,च,consonant,23037.0
300,षष्ठी चानादरे,षष्ठी,च,consonant,23038.0
301,स्वामीश्वराधिपतिदायादसाक्षिप्रतिभूप्रसूतैश्च,स्वामीश्वराधिपतिदायादसाक्षिप्रतिभूप्रसूतैः,च,visarga,23039.0
302,आयुक्तकुशलाभ्यां चासेवायाम्‌,आयुक्तकुशलाभ्याम्,च,consonant,23040.0
303,यतश्च निर्धारणम्‌,यतः,च,consonant,23041.0
304,साधुनिपुणाभ्याम् अर्चायां सप्तम्यप्रतेः,साधुनिपुणाभ्याम्,अर्चायाम्,consonant,23043.0
305,प्रसितोत्सुकाभ्यां तृतीया च,प्रसितोत्सुकाभ्याम्,तृतीया,consonant,23044.0
306,साऽऽमन्त्रितम्‌,सा,आमन्त्रितम्,vowel,23048.0
307,एकवचनं संबुद्धिः,एकवचनम्,सम्बुद्धिः,consonant,23049.0
